Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2020-05-20,155.67,143.08,94.95,,,,
2020-06-01,138.62,115.21,224.87,,,,
2020-06-15,372.8,345.97,170.86,,,,
2020-06-26,148.09,111.49,116.77,,,,
2020-07-02,763.85,365.92,260.92,,,,
2020-07-07,1831.11,1616.2,1177.97,,,,
2020-07-17,182.1,196.84,193.91,,,,
2020-07-23,156.34,159.48,152.81,,,,
2020-07-28,251.3,286.69,788.26,,,,
2020-08-04,255.26,207.99,404.09,,,,
2020-08-13,1840.58,1483.28,1269.37,,,,
2020-08-19,1232.46,989.31,270.64,,,,
2020-08-26,569.67,560.89,906.81,,,,
2020-09-03,145.24,138.11,624.41,,,,
2020-09-10,1039.25,1143.51,988.31,,,,
2020-09-16,368.46,297.23,930.24,,,,
2020-09-24,1728.36,1212.33,862.29,,,,
2020-09-30,326.14,414.46,523.61,,,,
2020-10-08,236.5,339.47,379.77,,,,
2020-10-14,161.49,160.22,195.12,,,,
2020-10-22,261.84,210.67,151.87,,,,
2020-10-29,222.7,228.04,548.02,,,,
2020-11-04,142.56,84.71,123.24,,,,
2020-11-12,167.15,198.58,397.24,,,,
2020-11-18,296.67,210.37,206.72,,,,
2020-11-25,144.09,127.68,411.03,,,,
2020-12-03,790.99,687.48,366.15,,,,
2020-12-10,316.21,262.45,306.64,,,,
2020-12-15,119.84,105.61,394.55,,,,
2020-12-21,800.16,778.95,557.9,,,,
2020-12-29,189.81,100.74,84.98,,,,
2021-01-05,54.12,46.87,42.89,,,,
2021-01-13,1269.76,781.86,360.95,,,,
2021-01-20,335.76,259.17,293.37,,,,
2021-01-27,135.99,129.18,146.05,,,,
2021-02-03,1038.1,272.34,504.76,,,,
2021-02-12,145.6,163.83,320.0,,,,
2021-02-17,380.4,272.84,232.27,,,,
2021-02-24,809.7,964.2,823.79,,,,
2021-03-05,403.61,524.65,311.72,,,,
2021-03-10,62.92,48.19,47.89,,,,
2021-03-15,612.54,358.53,211.46,,,,
2021-03-24,174.38,278.5,136.36,,,,
2021-04-06,143.66,150.98,231.2,,,,
2021-04-13,171.89,114.31,65.35,,,,
2021-04-20,75.23,57.38,31.83,,,,
2021-04-27,59.98,62.64,72.3,,,,
2021-05-06,636.33,507.82,26.16,,,,
2021-05-13,70.22,120.38,90.6,,,,
2021-05-20,168.1,140.35,92.44,,,,
2021-05-25,248.13,112.41,89.24,,,,
2021-06-02,105.35,94.24,80.97,,,,
2021-06-08,1687.66,1260.72,681.24,,,,
2021-06-14,898.56,1059.53,786.65,,,,
2021-06-22,133.27,123.6,120.96,,,,
2021-07-01,1227.6,757.49,518.45,,,,
2021-07-06,1228.96,902.28,714.56,,,,
2021-07-14,472.04,311.5,228.41,,,,
2021-07-20,579.55,292.66,229.13,,,,
2021-07-27,924.29,553.71,634.94,,,,
2021-08-03,103.34,92.19,70.2,,,,
2021-08-09,1321.59,934.0,551.78,,,,
2021-08-13,420.74,589.39,345.2,,,,
2021-08-16,186.21,169.66,89.91,,,,
2021-08-19,132.98,643.86,371.24,,,,
2021-08-24,333.83,194.69,102.21,,,,
2021-08-26,712.56,758.42,538.47,,,,
2021-08-30,104.4,75.68,67.06,,,,
2021-09-02,0.13,26.69,33.84,,,,
2021-09-09,325.31,139.4,67.37,,,,
2021-09-13,20.51,7.59,5.71,,,,
2021-09-20,0.13,0.13,0.13,,,,
2021-09-30,0.13,0.13,0.13,,,,
2021-10-07,298.22,172.32,140.64,,,,
2021-10-11,0.13,0.12,0.12,,,,
