Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2019-05-29,6.3,6.3,6.29,,,,
2019-06-04,6.42,6.42,6.42,,,,
2019-06-18,6.36,6.35,6.35,,,,
2019-06-25,6.68,6.67,6.67,,,,
2019-07-04,6.91,6.93,6.93,,,,
2019-07-11,6.77,6.78,6.78,,,,
2019-07-19,7.01,7.04,7.04,,,,
2019-07-26,6.97,6.97,6.97,,,,
2019-07-30,7.1,7.1,7.11,,,,
2019-08-06,7.28,7.28,7.28,,,,
2019-08-14,7.05,7.05,7.06,,,,
2019-08-22,7.06,7.08,7.09,,,,
2019-08-29,7.01,7.03,7.03,,,,
2019-09-04,7.1,7.15,7.19,,,,
2019-09-10,6.75,6.76,6.76,,,,
2019-09-17,5.1,5.19,5.22,,,,
2019-09-18,5.34,6.32,6.49,,,,
2019-09-19,5.53,5.96,6.23,,,,
2019-09-26,5.79,5.78,5.77,,,,
2019-10-03,5.82,5.82,5.82,,,,
2019-10-15,5.81,5.81,5.81,,,,
2019-10-16,5.68,5.68,5.68,,,,
2019-10-25,5.27,5.25,5.23,,,,
2019-11-04,5.38,5.37,5.37,,,,
2019-11-07,5.18,5.17,5.17,,,,
2019-11-14,4.89,4.89,4.89,,,,
2019-11-21,4.68,4.69,4.73,,,,
2019-11-27,4.66,4.66,4.66,,,,
2019-12-05,4.52,4.56,4.58,,,,
2019-12-11,4.56,4.56,4.56,,,,
2019-12-16,4.6,4.6,4.6,,,,
2019-12-26,4.66,4.67,4.67,,,,
2020-01-03,4.57,4.57,4.57,,,,
2020-01-08,4.49,4.49,4.49,,,,
2020-01-17,4.43,4.43,4.43,,,,
2020-01-23,4.28,4.3,4.33,,,,
2020-01-29,4.45,4.46,4.48,,,,
2020-02-04,4.7,4.69,4.69,,,,
2020-02-11,4.74,4.74,4.74,,,,
2020-02-20,4.79,4.8,4.8,,,,
2020-02-25,4.77,4.77,4.76,,,,
2020-03-05,4.9,4.91,4.92,,,,
2020-03-11,4.93,4.93,4.93,,,,
2020-03-17,5.03,5.05,5.05,,,,
2020-03-27,4.6,4.62,4.62,,,,
2020-04-01,4.77,4.78,4.78,,,,
2020-04-07,4.95,4.97,4.98,,,,
2020-04-14,5.03,5.04,5.04,,,,
2020-04-21,5.06,5.06,5.06,,,,
2020-05-13,5.5,5.5,5.5,,,,
2020-05-20,5.69,5.72,5.72,,,,
2020-06-01,5.7,5.71,5.72,,,,
2020-06-15,5.79,5.79,5.8,,,,
2020-06-26,6.02,6.05,6.05,,,,
2020-07-02,6.43,6.44,6.44,,,,
2020-07-07,6.52,6.56,6.61,,,,
2020-07-17,6.36,6.37,6.39,,,,
2020-07-23,6.44,6.43,6.44,,,,
2020-07-28,6.6,6.62,6.63,,,,
2020-08-04,6.77,6.78,6.8,,,,
2020-08-13,6.64,6.63,6.64,,,,
2020-08-19,6.61,6.62,6.63,,,,
2020-08-26,6.85,6.86,6.89,,,,
2020-09-03,6.54,6.55,6.55,,,,
2020-09-10,6.36,6.36,6.37,,,,
2020-09-16,6.5,6.51,6.52,,,,
2020-09-24,6.31,6.32,6.34,,,,
2020-09-30,5.99,6.0,6.01,,,,
2020-10-08,5.97,5.97,5.97,,,,
2020-10-14,5.79,5.76,5.76,,,,
2020-10-22,5.64,5.69,5.77,,,,
2020-10-29,5.5,5.5,5.5,,,,
2020-11-04,5.61,5.62,5.63,,,,
2020-11-12,5.57,5.59,5.59,,,,
2020-11-18,5.65,5.67,5.67,,,,
2020-11-25,5.24,5.23,5.23,,,,
2020-12-03,5.03,5.07,5.07,,,,
2020-12-10,4.71,4.69,4.69,,,,
2020-12-15,4.79,4.82,4.89,,,,
2020-12-21,5.02,5.01,5.02,,,,
2020-12-29,4.59,4.59,4.59,,,,
2021-01-05,4.39,4.4,4.4,,,,
2021-01-13,4.45,4.44,4.44,,,,
2021-01-20,4.46,4.52,4.56,,,,
2021-01-27,4.93,4.87,4.84,,,,
2021-02-03,4.89,4.89,4.91,,,,
2021-02-12,4.88,4.86,4.9,,,,
2021-02-17,4.97,4.98,4.98,,,,
2021-02-24,4.99,4.99,4.99,,,,
2021-03-05,5.02,5.02,5.03,,,,
2021-03-10,4.99,4.99,4.99,,,,
2021-03-15,5.22,5.22,5.22,,,,
2021-03-24,5.09,5.09,5.09,,,,
2021-04-06,5.57,5.57,5.58,,,,
2021-04-13,5.21,5.21,5.21,,,,
2021-04-20,5.34,5.34,5.34,,,,
2021-04-27,5.3,5.3,5.3,,,,
2021-05-06,5.72,5.72,5.72,,,,
2021-05-13,5.79,5.79,5.8,,,,
2021-05-20,6.06,6.06,6.08,,,,
2021-05-25,5.73,5.74,5.75,,,,
2021-06-02,5.94,5.94,5.94,,,,
2021-06-08,6.25,6.26,6.26,,,,
2021-06-14,6.24,6.24,6.22,,,,
2021-06-22,6.31,6.32,6.32,,,,
2021-07-01,6.5,6.53,6.62,,,,
2021-07-06,6.88,6.89,6.89,,,,
2021-07-14,6.61,6.61,6.61,,,,
2021-07-20,6.7,6.7,6.7,,,,
2021-07-27,6.8,6.8,6.79,,,,
2021-08-03,6.74,6.74,6.75,,,,
2021-08-09,6.85,6.86,6.86,,,,
2021-08-13,6.78,6.77,6.77,,,,
2021-08-16,7.05,7.08,7.09,,,,
2021-08-19,6.94,6.97,6.97,,,,
2021-08-24,6.81,6.82,6.79,,,,
2021-08-26,6.86,6.85,6.84,,,,
2021-08-30,7.05,7.04,7.02,,,,
2021-09-02,6.67,6.8,6.84,,,,
2021-09-09,6.79,6.79,6.79,,,,
2021-09-13,6.81,6.82,6.82,,,,
2021-09-20,6.5,6.5,6.5,,,,
2021-09-30,6.56,6.56,6.56,,,,
2021-10-07,6.27,6.24,6.24,,,,
2021-10-11,6.25,6.25,6.25,,,,
2021-10-18,6.07,6.08,6.11,,,,
2021-10-28,5.81,5.81,5.82,,,,
2021-11-04,5.66,5.66,5.66,,,,
2021-11-11,5.24,5.25,5.25,,,,
2021-11-18,5.22,5.22,5.24,,,,
2021-11-25,5.08,5.08,5.08,,,,
2021-12-01,4.84,4.84,4.84,,,,
2021-12-10,4.84,4.83,4.84,,,,
2021-12-15,4.93,4.93,4.93,,,,
2021-12-21,4.88,4.9,4.91,,,,
2021-12-28,4.94,4.99,5.02,,,,
2022-01-04,4.82,4.86,4.93,,,,
2022-01-12,4.79,4.79,4.8,,,,
2022-01-19,4.71,4.72,4.73,,,,
2022-01-27,4.73,4.73,4.74,,,,
2022-02-02,4.74,4.74,4.74,,,,
2022-02-10,4.87,4.87,4.88,,,,
2022-02-16,4.85,4.85,4.85,,,,
2022-02-24,5.04,5.04,5.04,,,,
2022-03-02,5.03,5.03,5.03,,,,
2022-03-11,5.05,5.05,5.05,,,,
2022-03-24,4.84,4.84,4.85,,,,
2022-03-28,4.88,4.88,4.88,,,,
2022-04-06,4.44,4.44,4.45,,,,
2022-04-11,4.95,4.94,4.94,,,,
2022-04-19,5.37,5.37,5.37,,,,
2022-04-22,5.12,5.12,5.12,,,,
2022-04-27,5.2,5.2,5.2,,,,
2022-05-06,5.29,5.29,5.29,,,,
2022-05-13,5.68,5.68,5.68,,,,
2022-05-18,6.06,6.06,6.07,,,,
2022-05-26,6.0,6.01,6.02,,,,
2022-06-02,6.25,6.25,6.25,,,,
2022-06-10,6.36,6.37,6.37,,,,
2022-06-17,6.4,6.4,6.4,,,,
2022-06-24,6.15,6.18,6.19,,,,
2022-06-30,6.18,6.33,6.39,,,,
2022-07-06,6.57,6.57,6.58,,,,
2022-07-14,6.73,6.73,6.73,,,,
2022-07-20,6.75,6.84,6.87,,,,
2022-07-28,7.08,7.08,7.09,,,,
2022-08-03,7.0,7.0,7.0,,,,
2022-08-11,6.91,6.91,6.91,,,,
2022-08-17,6.77,6.79,6.82,,,,
2022-08-24,6.87,6.87,6.87,,,,
2022-09-01,6.9,6.9,6.9,,,,
2022-09-07,6.67,6.67,6.67,,,,
2022-09-15,6.68,6.68,6.68,,,,
2022-09-21,6.54,6.54,6.54,,,,
2022-09-27,6.33,6.33,6.33,,,,
2022-09-29,6.2,6.2,6.21,,,,
2022-10-05,6.17,6.17,6.18,,,,
2022-10-11,6.11,6.11,6.11,,,,
2022-10-18,6.1,6.1,6.11,,,,
2022-10-26,6.12,6.12,6.12,,,,
2022-11-02,6.03,6.03,6.07,,,,
2022-11-09,5.63,5.65,5.68,,,,
2022-11-17,5.58,5.58,5.58,,,,
2022-11-24,5.19,5.19,5.19,,,,
2022-12-01,5.03,5.01,5.01,,,,
2022-12-07,5.03,5.04,5.04,,,,
2022-12-16,4.94,5.0,5.01,,,,
2022-12-20,5.07,5.07,5.07,,,,
2022-12-27,4.97,4.97,4.97,,,,
2023-01-03,4.85,4.85,4.85,,,,
2023-01-10,4.82,4.82,4.82,,,,
2023-01-20,4.55,4.57,4.57,,,,
2023-01-25,4.45,4.46,4.46,,,,
2023-02-01,4.46,4.46,4.46,,,,
2023-02-08,4.56,4.56,4.56,,,,
2023-02-14,,4.56,,,,,
2023-02-23,4.85,4.85,4.88,,,,
2023-03-01,4.58,4.58,4.59,,,,
2023-03-08,4.94,4.95,4.95,,,,
2023-03-16,5.26,5.26,5.26,,,,
2023-03-22,5.41,5.41,5.41,,,,
2023-03-29,5.59,5.58,5.59,,,,
2023-04-04,5.56,5.56,5.56,,,,
2023-04-11,5.74,5.74,5.74,,,,
2023-04-20,5.54,5.43,5.5,,,,
2023-04-27,5.98,5.98,5.98,,,,
2023-05-05,6.17,6.16,6.15,,,,
2023-05-11,6.15,6.16,6.16,,,,
2023-05-18,5.88,5.88,5.88,,,,
2023-05-25,5.67,5.67,5.68,,,,
2023-05-31,6.05,6.05,6.05,,,,
2023-06-05,6.24,6.23,6.23,,,,
2023-06-13,6.57,6.56,6.57,,,,
2023-06-21,6.58,6.57,6.65,,,,
2023-06-28,6.87,6.88,6.88,,,,
2023-07-05,6.97,,7.01,7.01,7.01,6.97,7.01
2023-07-12,7.04,,7.04,7.15,7.15,7.04,7.15
2023-07-19,7.12,,7.13,7.23,7.13,7.23,7.23
2023-07-26,7.08,,7.08,7.15,7.08,7.16,7.18
2023-08-01,7.12,,7.12,7.2,7.12,7.2,7.2
2023-08-10,6.98,,6.93,6.93,6.98,6.93,6.98
2023-08-17,7.17,,7.18,7.21,7.24,7.17,7.3
2023-08-24,7.22,,7.23,7.19,7.19,7.22,7.19
