Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-0.4,profundidad_-0.8,profundidad_-1.2000000000000002,profundidad_-1.6
2017-10-11,6.49,6.5,6.5,,,6.5,6.5,6.5,,,,
2017-10-17,6.4,6.42,6.42,,,6.42,6.42,6.42,,,,
2017-10-25,6.19,6.18,6.18,,,6.18,6.18,,,,,
2017-11-03,6.09,6.09,6.09,,,6.09,6.09,,,,,
2017-11-08,5.66,5.66,5.66,,,5.66,5.66,,,,,
2017-11-15,5.3,5.3,5.3,,,5.3,5.3,,,,,
2017-11-28,5.38,5.38,5.38,,,5.38,5.4,,,,,
2017-12-05,4.84,4.84,4.84,,,4.84,4.84,,,,,
2017-12-13,4.93,4.93,4.92,,,4.91,4.91,,,,,
2017-12-18,4.9,4.88,4.88,,,4.87,4.87,,,,,
2017-12-26,4.89,4.89,4.89,,,4.89,4.89,,,,,
2018-01-02,4.93,4.93,4.93,,,4.95,5.01,,,,,
2018-01-09,4.91,4.91,4.91,,,4.91,4.91,,,,,
2018-01-17,4.79,4.79,4.8,,,4.82,4.83,,,,,
2018-01-24,4.93,4.93,4.93,,,4.93,4.95,,,,,
2018-01-31,4.85,4.85,4.84,,,4.84,4.84,,,,,
2018-02-12,4.63,4.63,4.64,,,4.64,4.65,,,,,
2018-02-20,4.88,4.88,4.88,,,4.88,4.88,,,,,
2018-02-27,4.9,4.9,4.9,,,4.9,4.9,,,,,
2018-03-07,4.96,4.96,4.96,,,4.96,4.96,,,,,
2018-03-08,5.0,4.98,4.96,,,4.95,4.95,,,,,
2018-03-13,5.15,5.15,5.16,,,5.18,5.24,,,,,
2018-03-26,4.96,4.96,4.96,,,4.96,4.97,,,,,
2018-04-05,5.3,5.32,5.32,,,5.32,5.32,,,,,
2018-04-17,5.45,5.45,5.45,,,5.45,5.45,,,,,
2018-04-27,5.61,5.61,5.6,,,5.61,5.62,,,,,
2018-05-02,5.65,5.65,5.65,,,5.65,5.65,,,,,
2018-05-11,6.11,6.11,6.11,,,6.11,6.11,,,,,
2018-05-16,6.04,6.08,6.08,,,6.08,6.08,,,,,
2018-05-22,6.25,6.25,6.25,,,6.24,6.24,,,,,
2018-05-30,6.35,6.35,6.35,,,6.35,6.35,,,,,
2018-06-08,6.45,6.45,6.45,,,6.44,6.44,,,,,
2018-06-12,6.55,6.55,6.55,,,6.55,6.55,,,,,
2018-06-20,6.74,6.77,6.77,,,6.78,6.77,,,,,
2018-06-26,6.88,6.91,6.91,,,6.91,6.92,,,,,
2018-07-04,6.94,6.94,6.95,,,6.95,6.95,,,,,
2018-07-10,7.12,7.12,7.12,,,7.12,7.12,,,,,
2018-07-19,7.13,7.14,7.14,,,7.14,7.14,,,,,
2018-07-24,7.2,7.21,7.21,,,7.21,7.21,,,,,
2018-08-03,7.41,7.41,7.41,,,7.41,7.41,,,,,
2018-08-09,7.44,7.49,7.49,,,7.49,7.49,,,,,
2018-08-14,7.48,7.48,7.48,,,7.49,7.5,,,,,
2018-08-23,7.31,7.31,7.3,,,7.31,7.31,,,,,
2018-08-29,7.36,7.33,7.32,,,7.32,7.32,,,,,
2018-09-04,7.34,7.34,7.34,,,7.35,7.35,,,,,
2018-09-13,7.03,7.04,7.04,,,7.04,7.05,,,,,
2018-09-20,6.93,6.96,6.96,,,6.96,7.01,,,,,
2018-09-25,7.07,7.07,7.07,,,7.07,7.07,,,,,
2018-10-03,6.75,6.75,6.75,,,6.75,6.75,,,,,
2018-10-10,6.42,6.42,6.43,,,6.43,6.44,,,,,
2018-10-17,6.34,6.35,6.35,,,6.34,6.35,,,,,
2018-10-24,6.43,6.43,6.44,,,6.45,6.48,,,,,
2018-11-07,5.61,5.6,5.59,,,5.59,5.59,,,,,
2018-11-21,5.47,5.47,5.48,,,5.53,5.61,,,,,
2018-11-28,5.34,5.33,5.34,,,5.35,5.36,,,,,
2018-12-04,5.27,5.26,5.26,,,5.27,5.27,,,,,
2018-12-11,5.27,5.27,5.27,,,5.27,5.27,,,,,
2018-12-19,5.1,5.09,5.09,,,5.09,5.09,,,,,
2018-12-26,5.0,5.0,5.0,,,5.0,5.0,,,,,
2019-01-03,4.97,4.98,4.99,,,4.99,4.99,,,,,
2019-01-09,4.93,4.92,4.92,,,4.92,4.92,,,,,
2019-01-17,4.81,4.81,4.81,,,4.81,4.81,,,,,
2019-01-25,4.75,4.78,4.78,,,4.78,4.78,,,,,
2019-02-06,4.76,4.77,4.79,,,4.79,4.78,,,,,
2019-02-12,4.93,4.93,4.93,,,4.93,4.93,,,,,
2019-02-20,5.04,5.03,5.03,,,5.04,5.05,,,,,
2019-02-26,5.14,5.14,5.14,,,5.14,5.14,,,,,
2019-03-05,5.37,5.36,5.36,,,5.34,5.34,,,,,
2019-03-12,5.45,5.44,5.43,,,5.43,5.43,,,,,
2019-03-28,5.37,5.37,5.34,,,5.33,5.33,,,,,
2019-04-02,5.35,5.3,5.3,,,5.32,5.33,,,,,
2019-04-15,5.62,5.6,5.59,,,5.59,5.59,,,,,
2019-04-24,5.29,5.29,5.29,,,5.29,5.31,,,,,
2019-04-30,5.63,5.61,5.6,,,5.59,5.59,,,,,
2019-05-08,5.96,5.94,5.93,,,5.93,5.93,,,,,
2019-05-15,6.18,6.17,6.17,,,6.16,6.16,,,,,
2019-05-21,6.15,6.15,6.15,,,6.15,6.15,,,,,
2019-06-04,6.39,6.37,6.37,,,6.36,6.36,,,,,
2019-06-18,6.45,6.44,6.43,,,6.42,6.42,,,,,
2019-06-25,6.69,6.69,6.68,,,6.68,6.67,,,,,
2019-07-04,7.03,7.03,7.03,,,7.03,7.02,,,,,
2019-07-11,6.94,6.97,6.97,,,6.98,6.98,,,,,
2019-07-19,7.14,7.14,7.14,,,7.14,7.14,,,,,
2019-07-26,7.09,7.09,7.09,,,7.09,7.1,,,,,
2019-07-30,7.08,7.11,7.13,,,7.13,7.13,,,,,
2019-08-06,7.21,7.2,7.18,,,7.16,7.16,,,,,
2019-08-14,7.27,7.26,7.24,,,7.23,7.22,,,,,
2019-08-22,7.26,7.25,7.23,,,7.22,7.22,,,,,
2019-08-29,7.05,7.04,7.05,,,7.05,7.06,,,,,
2019-09-04,7.16,7.14,7.13,,,7.13,7.13,,,,,
