Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_-3.0,profundidad_-4.0,profundidad_-5.0,profundidad_-6.0,profundidad_-0.3333333333333333,profundidad_-0.6666666666666666,profundidad_-1.3333333333333333,profundidad_-1.6666666666666665
2016-08-02,5.81,6.11,6.28,,,,,,,,
2016-08-04,5.23,5.29,5.56,,,,,,,,
2016-08-09,4.93,4.26,4.23,,,,,,,,
2016-08-25,7.41,7.61,8.18,,,,,,,,
2016-08-30,5.4,5.22,5.73,,,,,,,,
2016-09-06,3.96,3.83,4.34,,,,,,,,
2016-09-08,4.13,4.28,4.35,,,,,,,,
2016-09-22,5.71,5.99,6.48,6.49,,,,,,,
2016-09-29,7.93,8.16,8.97,8.86,8.6,,,,,,
2016-10-06,7.36,7.53,7.39,7.78,8.26,,,,,,
2016-10-14,6.83,7.31,7.44,7.59,7.48,7.68,,,,,
2016-10-21,5.7,5.73,5.94,6.14,6.39,6.85,,,,,
2016-10-28,6.29,6.1,6.26,6.24,6.3,6.74,,,,,
2016-11-03,4.7,4.77,4.69,4.76,4.74,5.08,,,,,
2016-11-11,5.81,5.61,5.68,5.81,5.74,5.87,,,,,
2016-11-18,5.19,4.99,5.03,4.96,4.93,5.28,,,,,
2016-11-22,4.38,4.87,4.89,4.74,4.85,4.92,,,,,
2016-12-02,3.78,3.94,4.12,4.06,4.24,4.63,,,,,
2016-12-13,3.63,3.49,3.47,3.5,3.58,3.72,,,,,
2016-12-21,,8.35,,,,,,,,,
2017-01-12,6.04,5.83,6.08,6.09,6.11,6.06,,,,,
2017-01-26,6.61,7.01,7.19,7.2,7.14,6.86,,,,,
2017-02-03,4.54,4.65,4.82,4.79,4.8,4.94,,,,,
2017-02-10,5.11,5.61,5.74,5.88,5.39,5.48,,,,,
2017-02-16,3.97,4.12,4.13,4.07,4.14,4.15,,,,,
2017-02-24,4.56,4.79,4.94,4.65,4.15,3.41,,,,,
2017-03-02,2.06,2.2,2.11,2.15,2.23,2.24,,,,,
2017-03-22,2.34,2.34,2.32,2.34,2.32,2.22,,,,,
2017-03-30,1.8,2.23,2.12,2.18,2.13,2.23,,,,,
2017-04-05,2.27,2.19,2.18,2.3,2.44,2.5,,,,,
2017-04-12,2.3,2.36,2.3,2.39,2.45,2.61,,,,,
2017-04-18,1.17,1.22,1.27,1.17,1.19,1.07,,,,,
2017-04-25,1.56,1.69,1.58,1.95,2.13,1.98,,,,,
2017-05-04,1.35,1.29,1.21,1.24,1.33,1.41,,,,,
2017-05-10,0.86,0.71,0.74,0.81,0.94,1.36,,,,,
2017-05-19,0.99,1.3,1.19,1.19,1.33,1.21,,,,,
2017-05-24,0.75,1.21,1.24,1.25,1.26,1.31,,,,,
2017-06-02,1.22,1.16,1.27,1.29,1.22,1.45,,,,,
