Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2022-02-02,500.44,,,
2022-02-10,0.12,,,
2022-02-16,0.12,,,
2022-02-24,0.12,,,
2022-03-02,0.12,,,
2022-03-11,0.12,,,
2022-03-24,10.7,,,
2022-03-28,0.14,,,
2022-04-06,229.91,,,
2022-04-11,72.24,,,
2022-04-19,275.23,,,
2022-04-22,2.5,,,
2022-04-27,15.98,,,
2022-05-06,827.5,,,
2022-05-13,901.98,,,
2022-05-18,113.49,,,
2022-05-26,70.32,,,
2022-06-02,109.99,,,
2022-06-10,620.21,,,
2022-06-17,88.87,,,
2022-06-24,441.94,,,
2022-06-30,577.23,,,
2022-07-06,191.49,,,
2022-07-14,921.07,,,
2022-07-20,269.86,,,
2022-07-28,466.06,,,
2022-08-03,342.41,,,
2022-08-11,104.18,,,
2022-08-17,57.33,,,
2022-08-24,188.94,,,
2022-09-01,216.37,,,
2022-09-07,149.0,,,
2022-09-15,0.12,,,
2022-09-21,0.12,,,
2022-09-27,62.64,,,
2022-09-29,53.02,,,
2022-10-05,0.12,,,
2022-10-11,0.12,,,
2022-10-18,0.12,,,
2022-10-26,177.17,,,
2022-11-02,0.12,,,
2022-11-09,111.24,,,
2022-11-17,0.12,,,
2022-11-24,617.2,,,
2022-12-01,301.47,,,
2022-12-07,0.13,,,
2022-12-16,0.12,,,
2022-12-20,0.12,,,
2022-12-27,2.32,,,
2023-01-03,0.12,,,
2023-01-10,0.12,,,
2023-01-20,686.41,,,
2023-01-25,122.75,,,
2023-02-01,0.13,,,
2023-02-08,116.31,,,
2023-02-14,0.12,,,
2023-02-23,789.87,,,
2023-03-01,0.14,,,
2023-03-08,1204.9,,,
2023-03-16,53.03,,,
2023-03-22,148.49,,,
2023-03-29,78.04,,,
2023-04-04,208.95,,,
2023-04-11,546.27,,,
2023-04-20,937.7,,,
2023-04-27,343.39,,,
2023-05-05,117.92,,,
2023-05-11,233.36,,,
2023-05-18,264.97,,,
2023-05-25,1533.98,,,
2023-05-31,1291.27,,,
2023-06-05,89.35,,,
2023-06-13,132.04,,,
2023-06-21,107.98,,,
2023-06-28,911.74,,,
2023-07-05,1372.3,,,
2023-07-12,967.78,,,
2023-07-19,392.27,,,
2023-07-26,35.43,,,
2023-08-01,366.86,,,
2023-08-10,0.12,,,
2023-08-17,29.43,,,
2023-08-24,21.7,,,
