Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2021-04-27,2.89,,,
2021-05-06,1.33,,,
2021-05-13,2.01,,,
2021-05-20,1.16,,,
2021-05-25,1.72,,,
2021-06-02,1.14,,,
2021-06-08,1.1,,,
2021-06-14,1.77,,,
2021-06-22,0.8,,,
2021-07-01,0.79,,,
2021-07-06,1.08,,,
2021-07-14,1.48,,,
2021-07-20,0.7,,,
2021-07-27,1.01,,,
2021-08-03,2.4,,,
2021-08-09,1.94,,,
2021-08-13,0.77,,,
2021-08-16,1.27,,0.93,
2021-08-24,3.19,,,
2021-08-26,1.99,,,
2021-08-30,0.95,,,
2021-09-02,7.01,,,
2021-09-09,2.26,,,
2021-09-13,1.65,,,
2021-09-20,3.02,,,
2021-09-30,10.59,,,
2021-10-07,2.28,,,
2021-10-11,7.95,,,
2021-10-18,1.2,,,
2021-10-28,3.69,,,
2021-11-04,5.06,,,
2021-11-11,1.38,,,
2021-11-18,21.66,,,
2021-11-25,1.57,,,
2021-12-01,1.24,,,
2021-12-10,4.62,,,
2021-12-15,3.94,,,
2021-12-21,0.95,,,
2021-12-28,1.6,,,
2022-01-04,0.84,,,
2022-01-12,1.08,,,
2022-01-19,0.95,,,
2022-01-27,72.14,,,
2022-02-02,0.79,,,
2022-02-10,2.16,,,
2022-02-16,1.21,,,
2022-02-24,4.38,,,
2022-03-02,1.1,,,
2022-03-11,1.04,,,
2022-03-24,76.1,,,
2022-03-28,99.14,,,
2022-04-06,6.24,,,
2022-04-11,41.0,,,
2022-04-19,1.17,,,
2022-04-22,0.97,,,
2022-04-27,2.04,,,
2022-05-06,1.25,,,
2022-05-13,1.48,,,
2022-05-18,0.79,,,
2022-05-26,2.94,,,
2022-06-02,0.81,,,
2022-06-10,0.77,,,
2022-06-17,0.94,,,
2022-06-24,1.15,,,
2022-06-30,0.7,,,
2022-07-06,1.88,,,
2022-07-14,1.19,,,
2022-07-20,0.76,,,
2022-07-28,0.75,,,
2022-08-03,1.01,,,
2022-08-11,5.99,,,
2022-08-17,0.67,,,
2022-08-24,0.95,,,
2022-09-01,0.75,,,
2022-09-07,0.93,,,
2022-09-15,0.99,,,
2022-09-21,1.09,,,
2022-09-27,4.15,,,
2022-09-29,1.24,,,
2022-10-05,5.19,,,
2022-10-11,2.12,,,
2022-10-18,3.84,,,
2022-10-26,0.89,,,
2022-11-02,0.77,,,
2022-11-09,0.56,,,
2022-11-17,0.95,,,
2022-11-24,0.75,,,
2022-12-01,0.74,,,
2022-12-07,1.96,,,
2022-12-16,0.71,,,
2022-12-20,0.94,,,
2022-12-27,0.79,,,
2023-01-03,0.6,,,
2023-01-10,0.55,,,
2023-01-20,1.61,,,
2023-01-25,18.44,,,
2023-02-01,3.78,,,
2023-02-08,10.07,,,
2023-02-14,13.44,,,
2023-02-23,1.04,,,
2023-03-01,0.69,,,
2023-03-08,0.25,,,
2023-03-16,0.8,,,
2023-03-22,0.88,,,
2023-03-29,1.83,,,
2023-04-04,0.57,,,
2023-04-11,0.85,,,
2023-04-20,0.63,,,
2023-04-27,0.57,,,
2023-05-05,0.41,,,
2023-05-11,2.5,,,
2023-05-18,1.69,,,
2023-05-25,0.68,,,
2023-05-31,0.35,,,
2023-06-05,0.45,,,
2023-06-13,0.46,,,
2023-06-21,0.52,,,
2023-06-28,0.77,,,
2023-07-05,0.73,,,
2023-07-12,0.42,,,
2023-07-19,0.13,,,
2023-07-26,0.68,,,
2023-08-01,0.46,,,
2023-08-10,0.44,,,
2023-08-17,0.55,,,
2023-08-24,0.5,,,
