Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2021-04-27,5.34,,,
2021-05-06,5.79,,,
2021-05-13,5.88,,,
2021-05-20,5.99,,,
2021-05-25,5.79,,,
2021-06-02,6.01,,,
2021-06-08,6.21,,,
2021-06-14,6.21,,,
2021-06-22,6.34,,,
2021-07-01,6.66,,,
2021-07-06,7.02,,,
2021-07-14,7.04,,,
2021-07-20,6.93,,,
2021-07-27,6.79,,,
2021-08-03,6.8,,,
2021-08-09,6.95,,,
2021-08-13,6.89,,,
2021-08-16,7.27,,6.91,
2021-08-24,6.65,,,
2021-08-26,6.79,,,
2021-08-30,7.14,,,
2021-09-02,6.73,,,
2021-09-09,6.83,,,
2021-09-13,6.78,,,
2021-09-20,6.64,,,
2021-09-30,6.57,,,
2021-10-07,6.33,,,
2021-10-11,6.17,,,
2021-10-18,6.2,,,
2021-10-28,5.66,,,
2021-11-04,5.63,,,
2021-11-11,5.27,,,
2021-11-18,5.13,,,
2021-11-25,5.0,,,
2021-12-01,4.84,,,
2021-12-10,4.82,,,
2021-12-15,4.97,,,
2021-12-21,4.88,,,
2021-12-28,5.05,,,
2022-01-04,4.92,,,
2022-01-12,4.72,,,
2022-01-19,4.72,,,
2022-01-27,4.66,,,
2022-02-02,4.77,,,
2022-02-10,4.88,,,
2022-02-16,4.9,,,
2022-02-24,5.03,,,
2022-03-02,5.05,,,
2022-03-11,5.1,,,
2022-03-24,4.64,,,
2022-03-28,4.31,,,
2022-04-06,4.41,,,
2022-04-11,4.87,,,
2022-04-19,5.47,,,
2022-04-22,5.04,,,
2022-04-27,5.19,,,
2022-05-06,5.2,,,
2022-05-13,5.56,,,
2022-05-18,6.07,,,
2022-05-26,5.95,,,
2022-06-02,6.38,,,
2022-06-10,6.56,,,
2022-06-17,6.53,,,
2022-06-24,6.14,,,
2022-06-30,6.67,,,
2022-07-06,6.76,,,
2022-07-14,6.92,,,
2022-07-20,7.05,,,
2022-07-28,7.14,,,
2022-08-03,7.06,,,
2022-08-11,6.97,,,
2022-08-17,6.79,,,
2022-08-24,7.12,,,
2022-09-01,6.95,,,
2022-09-07,6.85,,,
2022-09-15,6.68,,,
2022-09-21,6.57,,,
2022-09-27,6.05,,,
2022-09-29,5.96,,,
2022-10-05,6.06,,,
2022-10-11,6.02,,,
2022-10-18,6.07,,,
2022-10-26,5.95,,,
2022-11-02,5.95,,,
2022-11-09,5.72,,,
2022-11-17,5.62,,,
2022-11-24,5.31,,,
2022-12-01,5.03,,,
2022-12-07,5.05,,,
2022-12-16,4.99,,,
2022-12-20,4.89,,,
2022-12-27,5.01,,,
2023-01-03,4.87,,,
2023-01-10,4.89,,,
2023-01-20,4.54,,,
2023-01-25,4.19,,,
2023-02-01,4.4,,,
2023-02-08,4.55,,,
2023-02-14,4.66,,,
2023-02-23,4.86,,,
2023-03-01,4.56,,,
2023-03-08,5.05,,,
2023-03-16,5.41,,,
2023-03-22,5.46,,,
2023-03-29,5.5,,,
2023-04-04,5.36,,,
2023-04-11,5.78,,,
2023-04-20,5.67,,,
2023-04-27,6.1,,,
2023-05-05,6.11,,,
2023-05-11,6.24,,,
2023-05-18,5.95,,,
2023-05-25,5.83,,,
2023-05-31,6.18,,,
2023-06-05,6.21,,,
2023-06-13,6.54,,,
2023-06-21,6.84,,,
2023-06-28,6.97,,,
2023-07-05,7.1,,,
2023-07-12,7.42,,,
2023-07-19,7.42,,,
2023-07-26,7.15,,,
2023-08-01,7.4,,,
2023-08-10,7.14,,,
2023-08-17,7.28,,,
2023-08-24,7.19,,,
