Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2020-09-30,22.09,,,
2020-10-08,22.04,,,
2020-10-14,19.8,,,
2020-10-22,20.9,,,
2020-10-29,18.46,,,
2020-11-04,19.17,,,
2020-11-12,18.35,,,
2020-11-18,19.99,,,
2020-11-25,16.42,,,
2020-12-03,13.98,,,
2020-12-10,11.05,,,
2020-12-15,12.84,,,
2020-12-21,13.46,,,
2020-12-29,10.45,,,
2021-01-05,8.83,,,
2021-01-13,9.04,,,
2021-01-20,10.12,,,
2021-01-27,13.74,,,
2021-02-03,13.86,,,
2021-02-12,14.7,,,
2021-02-17,14.32,,,
2021-02-24,14.76,,,
2021-03-05,15.21,,,
2021-03-10,15.53,,,
2021-03-15,17.37,,,
2021-03-24,16.04,,,
2021-04-06,19.19,,,
2021-04-13,17.52,,,
2021-04-20,18.7,,,
2021-04-27,19.02,,,
2021-05-06,22.06,,,
2021-05-13,22.2,,,
2021-05-20,23.18,,,
2021-05-25,22.44,,,
2021-06-02,24.56,,,
2021-06-08,25.7,,,
2021-06-14,25.09,,,
2021-06-22,25.91,,,
2021-07-01,27.59,,,
2021-07-06,29.9,,,
2021-07-14,30.11,,,
2021-07-20,29.04,,,
2021-07-27,27.84,,,
2021-08-03,27.98,,,
2021-08-09,28.53,,,
2021-08-13,28.28,,,
2021-08-16,31.19,,28.44,
2021-08-24,26.53,,,
2021-08-26,27.64,,,
2021-08-30,29.97,,,
2021-09-02,26.86,,,
2021-09-09,27.59,,,
2021-09-13,26.87,,,
2021-09-20,25.83,,,
2021-09-30,25.68,,,
2021-10-07,23.37,,,
2021-10-11,22.18,,,
2021-10-18,22.28,,,
2021-10-28,19.19,,,
2021-11-04,18.3,,,
2021-11-11,15.61,,,
2021-11-18,15.58,,,
2021-11-25,14.12,,,
2021-12-01,12.53,,,
2021-12-10,12.24,,,
2021-12-15,13.42,,,
2021-12-21,13.17,,,
2021-12-28,14.41,,,
2022-01-04,13.17,,,
2022-01-12,11.83,,,
2022-01-19,11.51,,,
2022-01-27,12.0,,,
2022-02-02,12.24,,,
2022-02-10,13.59,,,
2022-02-16,13.52,,,
2022-02-24,14.48,,,
2022-03-02,14.79,,,
2022-03-11,15.73,,,
2022-03-24,15.39,,,
2022-03-28,14.87,,,
2022-04-06,12.26,,,
2022-04-11,16.05,,,
2022-04-19,21.3,,,
2022-04-22,17.89,,,
2022-04-27,18.98,,,
2022-05-06,19.55,,,
2022-05-13,22.65,,,
2022-05-18,25.82,,,
2022-05-26,24.52,,,
2022-06-02,26.96,,,
2022-06-10,27.96,,,
2022-06-17,27.71,,,
2022-06-24,24.31,,,
2022-06-30,28.42,,,
2022-07-06,28.67,,,
2022-07-14,29.45,,,
2022-07-20,30.35,,,
2022-07-28,31.06,,,
2022-08-03,30.06,,,
2022-08-11,28.91,,,
2022-08-17,27.94,,,
2022-08-24,29.73,,,
2022-09-01,28.35,,,
2022-09-07,27.96,,,
2022-09-15,26.51,,,
2022-09-21,25.44,,,
2022-09-27,24.38,,,
2022-09-29,22.63,,,
2022-10-05,23.05,,,
2022-10-11,23.55,,,
2022-10-18,23.93,,,
2022-10-26,22.49,,,
2022-11-02,22.45,,,
2022-11-09,20.36,,,
2022-11-17,19.86,,,
2022-11-24,17.09,,,
2022-12-01,14.61,,,
2022-12-07,15.61,,,
2022-12-16,14.96,,,
2022-12-20,14.53,,,
2022-12-27,15.14,,,
2023-01-03,13.97,,,
2023-01-10,14.26,,,
2023-01-20,11.25,,,
2023-01-25,8.5,,,
2023-02-01,9.97,,,
2023-02-08,11.19,,,
2023-02-14,12.43,,,
2023-02-23,14.18,,,
2023-03-01,11.2,,,
2023-03-08,15.5,,,
2023-03-16,18.32,,,
2023-03-22,18.61,,,
2023-03-29,18.65,,,
2023-04-04,17.12,,,
2023-04-11,20.86,,,
2023-04-20,19.91,,,
2023-04-27,23.03,,,
2023-05-05,23.18,,,
2023-05-11,24.01,,,
2023-05-18,21.21,,,
2023-05-25,21.9,,,
2023-05-31,24.47,,,
2023-06-05,24.43,,,
2023-06-13,26.93,,,
2023-06-21,28.25,,,
2023-06-28,28.75,,,
2023-07-05,29.97,,,
2023-07-12,31.74,,,
2023-07-19,32.03,,,
2023-07-26,30.03,,,
2023-08-01,31.41,,,
2023-08-10,29.5,,,
2023-08-17,30.17,,,
2023-08-24,28.99,,,
