Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2020-09-30,6.22,,,
2020-10-08,7.48,,,
2020-10-14,5.01,,,
2020-10-22,5.83,,,
2020-10-29,7.92,,,
2020-11-04,7.39,,,
2020-11-12,6.95,,,
2020-11-18,6.98,,,
2020-11-25,8.55,,,
2020-12-03,7.39,,,
2020-12-10,7.8,,,
2020-12-15,8.09,,,
2020-12-21,8.19,,,
2020-12-29,8.04,,,
2021-01-05,7.64,,,
2021-01-13,7.56,,,
2021-01-20,7.85,,,
2021-01-27,8.12,,,
2021-02-03,8.48,,,
2021-02-12,7.22,,,
2021-02-17,7.58,,,
2021-02-24,6.16,,,
2021-03-05,7.23,,,
2021-03-10,8.51,,,
2021-03-15,8.35,,,
2021-03-24,9.31,,,
2021-04-06,9.75,,,
2021-04-13,8.08,,,
2021-04-20,10.46,,,
2021-04-27,7.87,,,
2021-05-06,7.34,,,
2021-05-13,7.73,,,
2021-05-20,7.4,,,
2021-05-25,7.26,,,
2021-06-02,7.71,,,
2021-06-08,7.17,,,
2021-06-14,6.99,,,
2021-06-22,7.97,,,
2021-07-01,7.06,,,
2021-07-06,8.02,,,
2021-07-14,7.67,,,
2021-07-20,4.7,,,
2021-07-27,5.73,,,
2021-08-03,5.93,,,
2021-08-09,6.12,,,
2021-08-13,5.43,,,
2021-08-16,6.32,,5.28,
2021-08-24,2.96,,,
2021-08-26,7.5,,,
2021-08-30,5.63,,,
2021-09-02,4.71,,,
2021-09-09,6.54,,,
2021-09-13,4.31,,,
2021-09-20,5.72,,,
2021-09-30,6.6,,,
2021-10-07,6.44,,,
2021-10-11,6.17,,,
2021-10-18,6.7,,,
2021-10-28,6.38,,,
2021-11-04,6.73,,,
2021-11-11,8.83,,,
2021-11-18,6.85,,,
2021-11-25,8.69,,,
2021-12-01,9.04,,,
2021-12-10,7.93,,,
2021-12-15,7.64,,,
2021-12-21,8.03,,,
2021-12-28,8.34,,,
2022-01-04,8.75,,,
2022-01-12,7.88,,,
2022-01-19,8.6,,,
2022-01-27,6.84,,,
2022-02-02,8.03,,,
2022-02-10,9.35,,,
2022-02-16,9.24,,,
2022-02-24,7.87,,,
2022-03-02,9.22,,,
2022-03-11,9.19,,,
2022-03-24,6.76,,,
2022-03-28,6.64,,,
2022-04-06,7.61,,,
2022-04-11,6.33,,,
2022-04-19,9.26,,,
2022-04-22,9.22,,,
2022-04-27,8.02,,,
2022-05-06,6.97,,,
2022-05-13,7.92,,,
2022-05-18,7.67,,,
2022-05-26,8.47,,,
2022-06-02,7.7,,,
2022-06-10,6.99,,,
2022-06-17,7.19,,,
2022-06-24,6.79,,,
2022-06-30,6.64,,,
2022-07-06,5.85,,,
2022-07-14,7.65,,,
2022-07-20,7.14,,,
2022-07-28,6.26,,,
2022-08-03,6.67,,,
2022-08-11,6.3,,,
2022-08-17,5.33,,,
2022-08-24,8.13,,,
2022-09-01,6.54,,,
2022-09-07,6.77,,,
