Date,profundidad_0.0,profundidad_-1.0,profundidad_-2.0,profundidad_None
2020-09-30,43.05,,,
2020-10-08,43.36,,,
2020-10-14,43.5,,,
2020-10-22,43.2,,,
2020-10-29,43.54,,,
2020-11-04,43.3,,,
2020-11-12,42.57,,,
2020-11-18,42.36,,,
2020-11-25,42.59,,,
2020-12-03,42.64,,,
2020-12-10,42.73,,,
2020-12-15,42.72,,,
2020-12-21,42.6,,,
2020-12-29,42.54,,,
2021-01-05,42.71,,,
2021-01-13,41.44,,,
2021-01-20,41.63,,,
2021-01-27,41.87,,,
2021-02-03,42.02,,,
2021-02-12,41.87,,,
2021-02-17,42.01,,,
2021-02-24,41.59,,,
2021-03-05,41.51,,,
2021-03-10,40.54,,,
2021-03-15,41.14,,,
2021-03-24,40.71,,,
2021-04-06,41.22,,,
2021-04-13,41.16,,,
2021-04-20,40.85,,,
2021-04-27,40.46,,,
2021-05-06,41.26,,,
2021-05-13,41.85,,,
2021-05-20,41.81,,,
2021-05-25,40.93,,,
2021-06-02,40.65,,,
2021-06-08,41.14,,,
2021-06-14,41.7,,,
2021-06-22,41.97,,,
2021-07-01,42.77,,,
2021-07-06,43.22,,,
2021-07-14,43.23,,,
2021-07-20,43.41,,,
2021-07-27,43.5,,,
2021-08-03,43.42,,,
2021-08-09,44.01,,,
2021-08-13,43.78,,,
2021-08-16,43.86,,43.81,
2021-08-24,43.66,,,
2021-08-26,43.69,,,
2021-08-30,44.06,,,
2021-09-02,43.94,,,
2021-09-09,44.01,,,
2021-09-13,44.36,,,
2021-09-20,44.29,,,
2021-09-30,43.88,,,
2021-10-07,44.29,,,
2021-10-11,44.21,,,
2021-10-18,44.37,,,
2021-10-28,43.09,,,
2021-11-04,43.77,,,
2021-11-11,43.4,,,
2021-11-18,42.17,,,
2021-11-25,42.48,,,
2021-12-01,42.73,,,
2021-12-10,42.84,,,
2021-12-15,43.04,,,
2021-12-21,42.44,,,
2021-12-28,42.7,,,
2022-01-04,42.75,,,
2022-01-12,42.37,,,
2022-01-19,42.66,,,
2022-01-27,41.58,,,
2022-02-02,42.39,,,
2022-02-10,41.91,,,
2022-02-16,42.18,,,
2022-02-24,42.4,,,
2022-03-02,42.21,,,
2022-03-11,41.73,,,
2022-03-24,37.85,,,
2022-03-28,35.25,,,
